PC_time_stamp,帧ID,帧内容
1696401168.8193202,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401168.8204088,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401168.9194372,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401168.9205904,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.0196297,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.0207136,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.119645,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.1206715,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.2197924,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.22068,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.3195279,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.3205552,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.419698,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.4207425,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.5198076,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.520886,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696401169.6196153,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696401169.6206584,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 13, '方向盘故障': 0, '方向盘位置传感器值': 0}"
