PC_time_stamp,帧ID,帧内容
1696402168.7577326,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402168.7586253,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402168.857597,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402168.8586233,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402168.9576504,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402168.9586296,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.0576718,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.058804,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.1577294,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.158674,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.2575908,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.2586467,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.357694,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.3588128,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.4577003,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.458639,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.5576248,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.558639,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.657767,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.6587145,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.7577357,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.7586906,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.8576932,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.8586643,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402169.9576702,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402169.9586957,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.0577905,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.0586765,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.1578069,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.158726,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.257628,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.258653,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.3577585,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.358697,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.457793,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.458813,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.557434,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.5585952,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696402170.6578648,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696402170.658981,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
