GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel,均值,方差,标准差,均方根误差
2284.0,97694.37,121.51586032,37.43330684,64.22,299.04,3.15,4,3.359375,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.47,121.51585936,37.43330718,64.21,298.66,3.4344,4,3.453125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.57,121.51585838,37.43330742,64.21,298.12,3.4668,4,3.5703125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.67,121.51585741,37.43330766,64.2,297.69,3.168,4,3.6640625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.76,121.51585651,37.433308,64.2,297.42,3.3912,4,3.71875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.87,121.51585534,37.43330837,64.19,296.96,3.5388,4,3.796875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97694.97,121.51585433,37.43330868,64.19,296.38,3.7764,4,3.875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.07,121.51585325,37.43330902,64.19,295.9,3.852,4,3.9296875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.17,121.51585213,37.43330931,64.19,295.36,3.7476,4,4.046875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.26,121.51585112,37.43330956,64.18,295.01,3.6612,4,4.0625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.36,121.51584995,37.43330989,64.18,294.64,4.0139999999999985,4,4.1015625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.47,121.51584859,37.43331021,64.17,294.05,4.14,4,4.1796875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.57,121.51584737,37.43331055,64.17,293.61,4.0212,4,4.21875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.67,121.51584612,37.43331088,64.16,293.14,4.0392,4,4.2578125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.76,121.51584507,37.43331118,64.17,292.61,4.0896,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.86,121.51584388,37.43331149,64.16,291.97,3.8844,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97695.97,121.51584259,37.43331192,64.16,291.42,3.978,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.07,121.5158414,37.43331222,64.15,290.85,3.9096,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.17,121.51584017,37.43331255,64.15,290.37,4.251600000000002,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.27,121.51583891,37.43331278,64.15,289.89,4.1832,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.36,121.5158378,37.43331301,64.15,289.43,4.0428,4,4.328125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.47,121.51583648,37.43331325,64.14,288.89,3.8556,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.57,121.5158353,37.43331352,64.14,288.46,3.654,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.67,121.51583407,37.43331379,64.13,288.09,4.024800000000001,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.77,121.51583281,37.43331405,64.13,287.71,4.4964,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.86,121.51583166,37.43331427,64.12,287.42,4.2408,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97696.96,121.51583034,37.4333145,64.11,287.15,4.1364,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.07,121.51582891,37.43331472,64.1,286.88,4.2552,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.17,121.51582755,37.43331493,64.09,286.67,4.2732,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.27,121.5158261,37.43331512,64.09,286.36,4.7772,4,4.3671875,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.36,121.51582487,37.43331526,64.08,285.96,4.4352,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.46,121.51582353,37.43331544,64.07,285.69,4.323600000000001,4,4.2890625,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.57,121.5158221,37.43331569,64.06,285.32,3.9888,4,4.234375,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.67,121.51582086,37.4333159,64.05,285.06,4.0608,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.77,121.51581956,37.43331617,64.05,284.96,4.4244,4,4.3125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.87,121.5158183,37.43331634,64.04,284.71,4.3416,4,4.2578125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
2284.0,97697.96,121.51581708,37.43331658,64.03,284.81,4.14,4,4.2578125,3,4.054653786407767,0.09822667415556606,0.3134113497555027,0.31814102301380737
