GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel,均值,方差,标准差,均方根误差
2283.0,551829.02,121.5160742,37.43329311,64.08,298.02,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.04,121.51607421,37.43329311,64.08,298.01,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.12,121.51607421,37.43329311,64.08,298.01,0.028800000000000006,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.22,121.51607421,37.43329311,64.08,298.01,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.32,121.5160742,37.43329311,64.08,298.02,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.41,121.5160742,37.43329311,64.08,298.01,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.52,121.5160742,37.43329311,64.08,298.02,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.62,121.5160742,37.43329311,64.08,298.03,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.72,121.5160742,37.43329311,64.08,298.01,0.0396,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.82,121.51607419,37.43329311,64.08,298.01,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551829.92,121.51607419,37.43329311,64.08,298.02,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.01,121.51607419,37.43329311,64.08,298.02,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.12,121.51607419,37.43329311,64.08,298.02,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.22,121.51607419,37.43329312,64.08,298.02,0.0072000000000000015,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.32,121.51607419,37.43329311,64.08,298.01,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.42,121.51607419,37.43329311,64.08,298.01,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.51,121.51607419,37.43329311,64.08,298.02,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.62,121.51607419,37.43329311,64.08,298.01,0.0324,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.72,121.51607421,37.43329310000001,64.08,298.01,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.82,121.51607421,37.43329310000001,64.08,298.02,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551830.92,121.51607421,37.43329310000001,64.08,298.01,0.0468,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.02,121.51607421,37.43329310000001,64.08,298.0,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.13,121.51607422,37.43329310000001,64.08,298.01,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.22,121.51607422,37.43329310000001,64.08,298.01,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.32,121.51607423,37.43329310000001,64.08,298.01,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.42,121.51607422,37.43329310000001,64.08,298.01,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.52,121.51607423,37.43329306,64.08,298.01,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.61,121.51607423,37.43329306,64.08,298.01,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.72,121.51607424,37.43329307,64.08,298.02,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.82,121.51607425,37.43329305,64.08,298.01,0.028800000000000006,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551831.92,121.51607425,37.43329304,64.08,298.01,0.0072000000000000015,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.02,121.51607424,37.43329305,64.08,298.01,0.0072000000000000015,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.12,121.51607425,37.43329303,64.08,298.02,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.22,121.51607424,37.43329304,64.08,298.01,0.028800000000000006,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.32,121.51607423,37.43329304,64.08,298.02,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.42,121.51607423,37.43329305,64.08,298.02,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.52,121.51607426,37.43329301,64.08,298.01,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.62,121.51607426,37.43329301,64.08,298.01,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.72,121.51607426,37.433293,64.08,298.02,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.82,121.51607426,37.433293,64.08,298.01,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551832.92,121.51607426,37.433293,64.08,298.02,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.02,121.51607425,37.433293,64.08,298.02,0.0252,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.12,121.51607428,37.43329297,64.07,298.01,0.0072000000000000015,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.21,121.51607428,37.43329298,64.07,298.02,0.0,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.32,121.5160743,37.43329297,64.07,298.02,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.42,121.51607429,37.43329296,64.07,298.01,0.0072000000000000015,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.52,121.51607428,37.43329297,64.07,298.02,0.0,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.62,121.51607428,37.43329297,64.07,298.02,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.72,121.51607429,37.43329294,64.07,298.01,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.81,121.51607429,37.43329295,64.07,298.02,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551833.92,121.51607432,37.43329293,64.07,298.02,0.018000000000000002,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.02,121.51607432,37.43329292,64.07,298.01,0.0396,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.12,121.51607432,37.43329293,64.07,298.03,0.0144,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.22,121.51607432,37.43329292,64.07,298.02,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.31,121.51607434,37.43329291,64.06,298.01,0.0504,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.42,121.51607433,37.43329291,64.06,298.02,0.0108,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.52,121.51607433,37.43329291,64.06,298.01,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.62,121.51607433,37.43329291,64.06,298.01,0.028800000000000006,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.72,121.51607433,37.43329291,64.06,298.02,0.0216,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.82,121.51607433,37.43329291,64.06,298.02,0.0036000000000000008,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551834.92,121.51607433,37.43329291,64.06,298.02,0.0324,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.02,121.51607432,37.43329291,64.06,298.02,0.0324,12.0,30.0,2.0,5,0.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.12,121.51607435,37.43329289,64.06,298.0,0.1764,12.0,30.0,2.0,5,0.2421875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.22,121.51607435,37.43329285,64.07,297.99,0.4032,12.0,30.0,2.0,5,0.3984375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.32,121.51607425,37.43329289,64.07,297.98,0.2448,12.0,30.0,2.0,5,0.453125,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
