GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel,均值,方差,标准差,均方根误差
2284.0,102628.25,121.51111661,37.43477722,33.94,184.69,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.27,121.51111661,37.43477722,33.94,184.68,0.0216,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.35,121.51111661,37.43477722,33.94,184.69,0.0216,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.45,121.51111661,37.43477721,33.94,184.69,0.0072000000000000015,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.55,121.51111662,37.43477722,33.94,184.69,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.65,121.51111662,37.43477721,33.94,184.69,0.0252,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.75,121.51111662,37.43477722,33.94,184.69,0.0108,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.85,121.51111662,37.43477722,33.94,184.69,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102628.95,121.51111662,37.43477722,33.94,184.69,0.036000000000000004,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.05,121.51111663,37.43477721,33.94,184.69,0.0072000000000000015,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.15,121.51111663,37.43477722,33.94,184.69,0.036000000000000004,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.25,121.51111663,37.43477721,33.94,184.69,0.0216,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.35,121.51111663,37.43477722,33.94,184.69,0.0108,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.45,121.51111663,37.43477721,33.94,184.69,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.55,121.51111663,37.43477722,33.94,184.69,0.0324,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.65,121.51111663,37.43477721,33.94,184.69,0.0,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.75,121.51111664,37.43477722,33.94,184.68,0.0432,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.85,121.51111664,37.43477721,33.94,184.69,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102629.95,121.51111664,37.43477722,33.94,184.69,0.0252,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.05,121.51111663,37.43477721,33.94,184.7,0.0396,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.15,121.51111664,37.43477722,33.94,184.7,0.07200000000000001,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.25,121.51111664,37.43477721,33.94,184.68,0.0036000000000000008,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.35,121.51111664,37.43477722,33.94,184.69,0.1008,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.45,121.51111663,37.43477721,33.94,184.7,0.036000000000000004,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.55,121.51111663,37.43477722,33.94,184.7,0.0072000000000000015,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.65,121.51111663,37.43477721,33.94,184.69,0.036000000000000004,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.75,121.51111663,37.43477722,33.94,184.7,0.018000000000000002,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.85,121.51111663,37.43477721,33.94,184.68,0.0144,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102630.95,121.51111663,37.43477722,33.94,184.69,0.0648,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.05,121.51111663,37.43477722,33.94,184.69,0.0432,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.16,121.51111663,37.43477722,33.94,184.7,0.018000000000000002,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.25,121.51111663,37.43477722,33.94,184.69,0.0216,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.35,121.51111663,37.43477722,33.94,184.68,0.0072000000000000015,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.45,121.51111662,37.43477722,33.94,184.68,0.0252,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.55,121.51111662,37.43477722,33.94,184.69,0.0612,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
2284.0,102631.65,121.51111662,37.43477721,33.94,184.69,0.0108,4,0.0,3,3.18317,1.2389111471,1.1130638558052275,1.3806239154816926
