GPSTime,v,均值,方差,标准差,均方根误差
551844.02,4.236480000000001,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551845.02,4.23324,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551846.01,4.365,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551847.02,4.51728,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551848.01,4.545,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551849.01,4.6530000000000005,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551850.02,4.81572,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551851.02,5.0112000000000005,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551852.02,4.910760000000002,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551853.02,4.815,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551854.02,4.887,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551855.02,4.9172400000000005,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551856.02,4.8654,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551857.01,4.98024,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551858.02,4.8438,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551859.02,4.9986,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551860.02,5.572080000000001,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551861.02,6.0058799999999986,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551862.02,6.247800000000002,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551863.02,6.33096,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551864.02,6.07356,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551865.02,5.409000000000002,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551866.02,4.772880000000001,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551867.02,4.38012,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551868.02,4.5594,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551869.02,4.6184400000000005,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551870.02,4.6422,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551871.02,4.563,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
551872.02,4.5118800000000014,4.992276923076924,0.14984548191053254,0.3870988012259048,0.3871758358003406
