GPSTime,v,均值,方差,标准差,均方根误差
551476.0,3.3696,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551477.0,3.31776,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551478.0,3.5071200000000005,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551479.0,3.6576,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551480.0,3.5182800000000003,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551481.0,3.5017199999999997,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551482.0,3.6576,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551482.99,3.8160000000000003,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551484.0,3.77316,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551485.0,3.90276,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551486.0,3.7242,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551487.0,3.8401199999999998,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551488.0,3.9362399999999993,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551489.0,4.110119999999999,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551490.0,3.8138400000000003,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551490.99,4.326120000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551492.0,4.90356,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551493.0,5.0407199999999985,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551494.0,5.46516,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551495.0,5.86908,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551496.0,5.9637600000000015,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551497.0,5.763600000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551498.0,5.2819199999999995,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551499.0,4.820760000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551500.0,4.26384,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551501.0,4.3812,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551502.0,4.585319999999999,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551503.0,4.5619200000000015,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551504.0,4.558680000000002,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551505.0,4.5702,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551506.0,4.1868,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551507.0,4.11192,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551508.0,4.4766,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551509.0,4.369680000000002,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551510.0,4.18392,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551511.0,4.5442800000000005,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551512.0,4.44276,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551513.0,4.4388000000000005,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551514.0,4.27644,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551515.0,4.2789600000000005,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551516.0,4.479480000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551517.0,4.29624,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551518.0,4.343400000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551519.0,4.633920000000002,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551520.0,4.51728,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551521.0,4.662000000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551521.99,4.42224,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551523.0,4.35312,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551524.0,4.599,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551525.0,4.37904,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551526.0,4.2613199999999996,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551527.01,4.533119999999999,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551528.0,4.41936,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551529.0,4.4658,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551530.0,4.6800000000000015,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551530.99,4.5507599999999995,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551532.0,4.293360000000002,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551533.0,4.468680000000001,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
551534.01,4.5864,4.557610854271357,0.17890624563896879,0.4229731027370048,0.6120575151874922
