PC_time_stamp,cmd_steering,cmd_v,path_target_point_index,GPSWeek,GPSTime,utm_x,utm_y,Latitude,Longitude,Heading,V,Altitude,Warming,Pitch,Roll,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,Ve,Vn,Vu,NSV1,NSV2,Status,Age,path_x_y_file,target_speed,Kp,threshold_distance,tractor_info_dict,realtime_lateral_error,backward_flag,machine_operation_status,task_index,is_endtask,driving_mode,machine_operation_enabled
1699349229.4894462,16.754947560065677,0.5,0,2287,206835.67,570888.8087826539,4089420.1956123435,36.94818266,117.79617059,1.12,0.027,15.99,2.0
1699349229.5034301,18.32654632218026,0.5,0,2287,206845.21,570888.760026809,4089420.4892040812,36.94818531,117.79617007,0.94,0.139,15.99,2.0
1699349229.5239015,12.61885117334846,0.5,0,2287,206847.73,570888.8360150146,4089421.625895364,36.94819555,117.79617103,3.32,1.037,16.01,2.0
1699349229.5451088,12.421050324537687,0.5,0,2287,206847.75,570888.8385101128,4089421.6469953815,36.94819574,117.79617106,3.39,1.042,16.01,2.0
1699349229.5654118,12.220617976515497,0.5,0,2287,206847.77,570888.839224434,4089421.6680805217,36.94819593,117.79617107,3.47,1.046,16.01,2.0
1699349229.586484,12.006619679592154,0.5,0,2287,206847.79,570888.8408291426,4089421.6891731,36.94819612,117.79617109,3.55,1.051,16.01,2.0
1699349229.6063867,11.805742473490458,0.5,0,2287,206847.81,570888.8415434635,4089421.7102582413,36.94819631,117.7961711,3.63,1.053,16.01,2.0
1699349229.6265738,11.727062527975612,0.5,0,2287,206847.83,570888.8351902821,4089421.7246277644,36.94819644,117.79617103,3.7,1.054,16.0,2.0
1699349229.646696,11.553110176844612,0.5,0,2287,206847.85,570888.834123828,4089421.7456980296,36.94819663,117.79617102,3.78,1.052,16.0,2.0
1699349229.667084,11.379153877284898,0.5,0,2287,206847.87,570888.8330573718,4089421.7667682962,36.94819682,117.79617101,3.86,1.038,16.0,2.0
1699349229.6870475,11.234385420697176,0.5,0,2287,206847.89,570888.8319909178,4089421.7878385615,36.94819701,117.796171,3.93,1.015,16.0,2.0
1699349229.7071242,11.055605190568865,0.5,0,2287,206847.91,570888.8309429971,4089421.806690121,36.94819718,117.79617099,4.01,0.987,16.0,2.0
1699349229.7270832,10.908484567461425,0.5,0,2287,206847.93,570888.8298858098,4089421.8266510344,36.94819736,117.79617098,4.08,0.957,16.0,2.0
1699349229.7465224,10.729674027884702,0.5,0,2287,206847.95,570888.8288378891,4089421.8455025954,36.94819753,117.79617097,4.16,0.928,16.0,2.0
1699349229.7667356,10.563967390171372,0.5,0,2287,206847.97,570888.8286896227,4089421.8632522402,36.94819769,117.79617097,4.23,0.908,16.0,2.0
1699349229.7877514,10.41443437253991,0.5,0,2287,206847.99,570888.8276416997,4089421.8821038003,36.94819786,117.79617096,4.3,0.892,16.0,2.0
1699349229.8075469,10.216776935831923,0.5,0,2287,206848.01,570888.8275026998,4089421.898744092,36.94819801,117.79617096,4.38,0.876,16.0,2.0
1699349229.828613,10.014418049697428,0.5,0,2287,206848.03,570888.8300070649,4089421.9187347554,36.94819819,117.79617099,4.45,0.868,16.01,2.0
1699349229.848615,9.816430374417434,0.5,0,2287,206848.05,570888.8298680651,4089421.935375047,36.94819834,117.79617099,4.53,0.86,16.01,2.0
1699349229.8690066,9.606918703207187,0.5,0,2287,206848.07,570888.830610186,4089421.95313213,36.9481985,117.796171,4.61,0.856,16.0,2.0
1699349229.8929682,9.410278749665208,0.5,0,2287,206848.09,570888.8322519634,4089421.969787298,36.94819865,117.79617102,4.68,0.862,16.0,2.0
1699349229.913105,9.22996491799157,0.5,0,2287,206848.11,570888.8329940845,4089421.98754438,36.94819881,117.79617103,4.75,0.87,16.0,2.0
1699349229.9325032,9.06102138561924,0.5,0,2287,206848.13,570888.8328550847,4089422.0041846717,36.94819896,117.79617103,4.82,0.876,16.0,2.0
1699349229.9527617,8.910160770775652,0.5,0,2287,206848.15,570888.8335972056,4089422.021941755,36.94819912,117.79617104,4.88,0.882,16.0,2.0
1699349229.972435,8.728134606092379,0.5,0,2287,206848.17,570888.8325585516,4089422.039683962,36.94819928,117.79617103,4.96,0.885,16.0,2.0
1699349229.9823828,8.591345747740133,0.5,0,2287,206848.19,570888.832410285,4089422.057433607,36.94819944,117.79617103,5.02,0.879,16.0,2.0
1699349230.0027838,8.409335291471814,0.5,0,2287,206848.21,570888.8313716311,4089422.0751758143,36.9481996,117.79617102,5.1,0.876,16.0,2.0
1699349230.023202,7.826989663384087,0.5,0,2287,206848.23,570888.8502365772,4089422.0553636537,36.94819942,117.79617123,5.18,0.858,16.0,2.0
1699349230.043533,7.641195596310385,0.5,0,2287,206848.25,570888.84920719,4089422.0719965077,36.94819957,117.79617122,5.26,0.848,16.0,2.0
1699349230.0638418,7.425531572863479,0.5,0,2287,206848.27,570888.8481778003,4089422.0886293626,36.94819972,117.79617121,5.35,0.84,16.0,2.0
1699349230.0840487,7.242301791996905,0.5,0,2287,206848.29,570888.8471391462,4089422.1063715694,36.94819988,117.7961712,5.43,0.833,16.0,2.0
1699349230.1043732,7.0239560924371265,0.5,0,2287,206848.31,570888.8461190255,4089422.121895071,36.94820002,117.79617119,5.52,0.824,16.0,2.0
1699349230.1253645,6.793794896356121,0.5,0,2287,206848.33,570888.8459800256,4089422.138535363,36.94820017,117.79617119,5.61,0.815,16.0,2.0
1699349230.1449587,6.563524349563545,0.5,0,2287,206848.35,570888.8458410257,4089422.1551756556,36.94820032,117.79617119,5.7,0.809,16.0,2.0
