GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,v,shiftLevel
2282,549456.0,37.43329949,121.5132676,47.92,5,0.0,11
2282,549479.0,37.43329962,121.5132675,47.91,5,0.0,11
2282,549481.0,37.43329964,121.51326747,47.92,5,0.0,11
2282,549483.0,37.43329963,121.51326746,47.92,5,0.0,11
2282,549485.0,37.43329704,121.51326696,47.92,5,0.0,11
2282,549487.0,37.4332831,121.51326398,47.92,5,0.0,11
2282,549489.0,37.43326101,121.51325941,47.94,5,0.0,11
2282,549491.0,37.43323671,121.51325332,48.06,5,0.0,11
2282,549493.0,37.4332159,121.51324534,48.02,5,0.0,11
2282,549495.0,37.43319424,121.51323446,48.01,5,0.0,11
2282,549497.0,37.43317385,121.51322221,47.98,5,0.0,11
2282,549499.0,37.43315309,121.51321139,47.99,5,0.0,11
2282,549501.0,37.43313277,121.51320158,47.97,5,0.0,11
2282,549503.0,37.43311095,121.51319097,47.99,5,0.0,11
2282,549505.0,37.43308863,121.51318042,48.05,5,0.0,11
2282,549507.0,37.43306706,121.51317141,47.96,5,0.0,11
2282,549509.0,37.43304328,121.51316137,47.99,5,0.0,11
2282,549511.0,37.43302047,121.51315367,48.0,5,0.0,11
2282,549513.0,37.43299576,121.51314414,48.1,5,0.0,11
2282,549515.0,37.43297257,121.51313669,48.07,5,0.0,11
2282,549517.0,37.43294903,121.51313083,48.03,5,0.0,11
2282,549519.0,37.43292576,121.5131255,48.09,5,0.0,11
2282,549521.0,37.43290289,121.51312078,48.11,5,0.0,11
2282,549523.0,37.43288117,121.51311744,47.98,5,0.0,11
2282,549525.0,37.43286003,121.51311363,47.79,5,0.0,11
2282,549527.0,37.43283845,121.51310867,47.71,5,0.0,11
2282,549529.0,37.43281487,121.51310228,47.62,5,0.0,11
2282,549531.0,37.43278976,121.51309642,47.52,5,0.0,11
2282,549533.0,37.43276833,121.51309191,47.5,5,0.0,11
2282,549535.0,37.43274629,121.51308595,47.35,5,0.0,11
2282,549537.0,37.43272102,121.51307816,47.38,5,0.0,11
2282,549539.0,37.43269833,121.51307342,47.3,5,0.0,11
2282,549541.0,37.43267354,121.51306808,47.25,5,0.0,11
2282,549543.0,37.43264966,121.51306145,47.21,5,0.0,11
2282,549545.0,37.43262407,121.5130534,47.18,5,0.0,11
2282,549547.0,37.43259517,121.51304571,47.12,5,0.0,11
2282,549549.0,37.43256693,121.51303894,47.17,5,0.0,11
2282,549551.0,37.43254386,121.5130354,47.07,5,0.0,11
2282,549553.0,37.43251865,121.51303063,47.16,5,0.0,11
2282,549555.0,37.43249754,121.51302757,47.02,5,0.0,11
2282,549557.0,37.43247554,121.51302538,46.89,5,0.0,11
2282,549559.0,37.43245085,121.51302204,46.92,5,0.0,11
2282,549561.0,37.43242573,121.5130189,47.02,5,0.546875,11
2282,549563.0,37.43240081,121.51301815,46.98,5,3.1875,11
2282,549565.0,37.43237613,121.51301745,46.9,5,4.828125,11
2282,549567.0,37.43235052,121.51301803,46.9,5,5.1484375,11
2282,549569.0,37.4323255,121.51301921,46.98,5,4.484375,11
2282,549571.0,37.43230286,121.51302063,46.95,5,4.75,11
2282,549573.0,37.43227824,121.51302373,46.83,5,4.7265625,11
2282,549575.0,37.43225452,121.51302791,46.85,5,4.84375,11
2282,549577.0,37.43223099,121.5130291,46.76,5,4.7109375,11
2282,549579.0,37.43220396,121.51303154,46.73,5,4.8046875,11
2282,549581.0,37.43217638,121.51303299,46.74,5,4.7890625,11
2282,549583.0,37.43215072,121.51303464,46.72,5,4.8671875,11
2282,549585.0,37.432127,121.51303755,46.84,5,4.8046875,11
2282,549587.0,37.43210424,121.51304099,46.81,5,4.765625,11
2282,549589.0,37.43208005,121.5130428,46.73,5,4.921875,11
2282,549591.0,37.43205682,121.51304459,46.76,5,4.7265625,11
2282,549593.0,37.43203487,121.51304828,46.61,5,5.0703125,11
2282,549595.0,37.43201249,121.51305122,46.54,5,4.8671875,11
2282,549597.0,37.43198966,121.51305403,46.41,5,5.015625,11
2282,549599.0,37.43196798,121.51305665,46.41,5,4.765625,11
2282,549601.0,37.43194647,121.51305938,46.27,5,4.9765625,11
2282,549603.0,37.43192188,121.5130635,46.3,5,5.015625,11
2282,549605.0,37.43189996,121.51306966,46.31,5,4.8984375,11
2282,549607.0,37.43187643,121.5130755,46.35,5,5.09375,11
2282,549609.0,37.43185008,121.51308395,46.3,5,4.765625,11
2282,549611.0,37.43182545,121.5130918,46.23,5,4.7265625,11
2282,549613.0,37.43180265,121.51309849,46.27,5,4.9375,11
2282,549615.0,37.43178049,121.51310589,46.23,5,4.7109375,11
2282,549617.0,37.43175852,121.51311274,46.16,5,5.2265625,11
2282,549619.0,37.43173399,121.51312012,46.21,5,4.9765625,11
2282,549621.0,37.43171259,121.51312664,46.14,5,5.09375,11
2282,549623.0,37.43168769,121.51313532,46.15,5,5.4921875,11
2282,549625.0,37.4316655,121.51314319,46.16,5,5.2421875,11
2282,549627.0,37.43164263,121.51315136,46.11,5,4.6328125,11
2282,549629.0,37.43161788,121.51315952,46.08,5,5.03125,11
2282,549631.0,37.43159431,121.51316835,46.2,5,4.6953125,11
2282,549633.0,37.43156826,121.51317816,46.18,5,5.1328125,11
2282,549635.0,37.43154432,121.51318765,46.26,5,4.8828125,11
2282,549637.0,37.43151957,121.51319879,46.23,5,5.0,11
2282,549639.0,37.43149718,121.51321139,46.18,5,5.109375,11
2282,549641.0,37.4314741,121.51322275,46.22,5,4.671875,11
2282,549643.0,37.43144949,121.51323483,46.34,5,5.265625,11
2282,549645.0,37.43142676,121.51324832,46.31,5,5.1640625,11
2282,549647.0,37.43140571,121.51326185,46.21,5,4.7265625,11
2282,549649.0,37.43138497,121.51327544,46.21,5,5.265625,11
2282,549651.0,37.43136231,121.51328926,46.19,5,5.03125,11
2282,549653.0,37.43134092,121.51330175,46.19,5,5.375,11
2282,549655.0,37.43131914,121.5133116,46.3,5,5.03125,11
2282,549657.0,37.4312975,121.51332225,46.25,5,4.84375,11
2282,549659.0,37.43127431,121.51333297,46.36,5,5.0703125,11
2282,549661.0,37.43125303,121.51334347,46.42,5,4.65625,11
2282,549663.0,37.43123123,121.51335614,46.45,5,4.8984375,11
2282,549665.0,37.43121033,121.51337125,46.41,5,4.84375,11
2282,549667.0,37.43118981,121.51338601,46.35,5,5.1328125,11
2282,549669.0,37.43116858,121.51340083,46.41,5,4.6953125,11
2282,549671.0,37.43114561,121.51341634,46.48,5,5.2265625,11
2282,549673.0,37.43112374,121.51343195,46.53,5,4.921875,11
2282,549675.0,37.43110247,121.51344813,46.55,5,5.0,11
2282,549677.0,37.43108283,121.51346471,46.53,5,5.1640625,11
