GPSTime,v
102230.32,3.8232
102235.33,3.8034719999999997
102240.32,3.6438479999999998
102245.32,3.575736
102250.33,3.756096
102255.33,3.8474640000000004
102260.32,3.913632
102265.33,3.8095920000000003
102270.33,3.814344
102275.33,3.8278799999999995
102280.33,3.8344320000000005
102285.33,3.9114720000000007
102290.33,3.868632
102295.33,3.8471760000000006
102300.33,3.9057839999999997
102305.33,3.918744000000001
102310.33,3.8895840000000006
102315.33,3.8694239999999995
102320.33,3.9449520000000002
102325.33,3.853944
102330.33,3.8789280000000006
102335.33,3.9705839999999997
102340.33,3.9770640000000004
102345.33,3.871008
102350.33,4.023432
102355.33,3.9713760000000002
102360.33,3.86568
102365.34,3.8937600000000003
102370.34,3.8812320000000007
102375.33,3.8428560000000003
102380.33,4.057632
102385.33,3.962376
