GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,221067.21,121.51768196,37.43844039,38.92,283.51,899754.7057275106,4153103.771596523,0.02,0,0.5,12.0,27.0,2.0
2265.0,221070.01,121.51768253,37.43844027,38.93,283.52,899754.7568323091,4153103.760696661,0.009,0,0.5,12.0,27.0,2.0
2265.0,221070.16,121.51768256,37.43844026,38.93,283.52,899754.759541685,4153103.7597139194,0.011,0,0.5,12.0,27.0,2.0
2265.0,221070.31,121.51768257,37.43844026,38.94,283.52,899754.7604270324,4153103.7597564454,0.012,0,0.5,12.0,27.0,2.0
2265.0,221070.45,121.51768258,37.43844025,38.94,283.57,899754.7613657112,4153103.75868865,0.012,0,0.5,12.0,27.0,2.0
2265.0,221070.62,121.51768257,37.43844025,38.94,283.56,899754.7604803642,4153103.758646125,0.009,0,0.5,12.0,27.0,2.0
2265.0,221070.76,121.5176826,37.43844025,38.94,283.56,899754.7631364081,4153103.7587737027,0.022,0,0.5,12.0,25.0,2.0
2265.0,221070.92,121.51768261,37.43844025,38.94,283.56,899754.7640217551,4153103.7588162287,0.017,-112.08631222010177,1.7388000000000001,12.0,25.0,2.0
2265.0,221071.05,121.51768261,37.43844025,38.94,283.56,899754.7640217551,4153103.7588162287,0.017,-112.08631222010177,1.7388000000000001,12.0,25.0,2.0
2265.0,221071.21,121.51768253,37.43844026,38.94,283.58,899754.7568856411,4153103.7595863417,0.058,-112.11672258454658,1.5912,12.0,25.0,2.0
2265.0,221071.35,121.51768253,37.43844026,38.94,283.61,899754.7568856411,4153103.7595863417,0.076,-112.90163047217514,1.5263999999999998,12.0,26.0,2.0
2265.0,221071.51,121.51768244,37.43844028,38.94,283.72,899754.7488108501,4153103.761424248,0.098,-116.36613581188558,1.4471999999999998,12.0,26.0,2.0
2265.0,221071.63,121.51768234,37.4384403,38.94,283.76,899754.7398507075,4153103.763219629,0.141,-117.77977828545878,1.2924000000000002,12.0,25.0,2.0
