GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2263.0,119260.53,121.51770425,37.43813944,41.01,163.63,899758.2841973824,4153070.451305787,0.004,0,2,12.0,20.0,2.0
2263.0,119262.8,121.51770425,37.43813944,41.01,163.63,899758.2841973824,4153070.451305787,0.004,0,2,12.0,21.0,2.0
2263.0,119262.9,121.51770425,37.43813944,41.01,163.64,899758.2841973824,4153070.451305787,0.004,0,2,12.0,21.0,2.0
2263.0,119263.02,121.51770425,37.43813944,41.01,163.63,899758.2841973824,4153070.451305787,0.004,0,2,12.0,21.0,2.0
2263.0,119263.16,121.51770425,37.43813943,41.01,163.66,899758.2842507144,4153070.450195466,0.009,0,2,12.0,21.0,2.0
2263.0,119263.29,121.51770425,37.43813943,41.01,163.66,899758.2842507144,4153070.450195466,0.008,0,2,12.0,21.0,2.0
2263.0,119263.43,121.51770425,37.43813943,41.01,163.67,899758.2842507144,4153070.450195466,0.005,0,2,12.0,21.0,2.0
2263.0,119263.59,121.51770425,37.43813943,41.01,163.67,899758.2842507144,4153070.450195466,0.005,61.11807336306923,2,12.0,21.0,2.0
2263.0,119263.72,121.51770425,37.43813943,41.01,163.67,899758.2842507144,4153070.450195466,0.003,61.11807336306923,2,12.0,21.0,2.0
2263.0,119263.87,121.51770425,37.43813943,41.01,163.67,899758.2842507144,4153070.450195466,0.003,61.11807336306923,2,12.0,20.0,2.0
2263.0,119264.01,121.51770425,37.43813943,41.01,163.68,899758.2842507144,4153070.450195466,0.006,61.0817535193532,2,12.0,20.0,2.0
2263.0,119264.16,121.51770425,37.43813943,41.01,163.61,899758.2842507144,4153070.450195466,0.006,61.335901505877544,2,12.0,20.0,2.0
2263.0,119264.29,121.51770431,37.43813942,41.0,163.55,899758.2896161531,4153070.4493403025,0.001,62.55633946040704,2,12.0,21.0,2.0
2263.0,119264.44,121.51770436,37.43813941,41.0,163.49,899758.2940962411,4153070.4484426123,0.01,63.60841815331143,2,12.0,21.0,2.0
2263.0,119264.59,121.51770436,37.43813941,41.0,163.44,899758.2940962411,4153070.4484426123,0.008,63.7884386693775,2,12.0,21.0,2.0
2263.0,119264.75,121.51770442,37.43813941,41.0,163.42,899758.2994083501,4153070.448697768,0.009,64.84763011589142,2,12.0,21.0,2.0
2263.0,119264.88,121.51770442,37.43813941,41.0,163.42,899758.2994083501,4153070.448697768,0.004,64.84763011589142,2,12.0,21.0,2.0
2263.0,119265.02,121.51770442,37.43813941,41.0,163.42,899758.2994083501,4153070.448697768,0.004,64.84763011589142,2,12.0,21.0,2.0
2263.0,119265.16,121.51770442,37.43813941,41.0,163.42,899758.2994083501,4153070.448697768,0.003,64.84763011589142,2,12.0,21.0,2.0
