GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,218961.54,121.5176636,37.43844282,37.6,261.68,899753.0672695964,4153103.963326846,0.391,120.0,1.8,42.0,26.0,2.0
2265.0,218961.68,121.51766299,37.43844275,37.6,263.3,899753.0136367136,4153103.9529605345,0.387,120.0,1.8,42.0,26.0,2.0
2265.0,218961.81,121.51766243,37.43844269,37.6,264.82,899752.9643772373,4153103.9439171725,0.385,120.0,1.8,42.0,26.0,2.0
2265.0,218962.0,121.51766158,37.43844263,37.61,267.03,899752.8894426823,4153103.9336405653,0.397,120.0,1.8,42.0,26.0,2.0
2265.0,218962.13,121.51766101,37.4384426,37.61,268.55,899752.8391378631,4153103.9278856376,0.38,120.0,1.8,42.0,26.0,2.0
2265.0,218962.27,121.51766038,37.43844257,37.61,270.19,899752.7835209589,4153103.921875557,0.402,120.0,1.8,42.0,27.0,2.0
2265.0,218962.41,121.51765975,37.43844258,37.62,271.82,899752.7276907274,4153103.9203067557,0.387,120.0,1.8,42.0,27.0,2.0
2265.0,218962.57,121.51765903,37.43844258,37.62,273.71,899752.6639456986,4153103.917244904,0.412,120.0,1.8,42.0,26.0,2.0
2265.0,218962.7,121.51765845,37.43844258,37.62,275.24,899752.6125955351,4153103.9147784133,0.4,116.16789281569808,1.8,42.0,26.0,2.0
2265.0,218962.85,121.51765779,37.43844263,37.62,277.01,899752.5538959351,4153103.917523318,0.412,108.33559803503915,1.8,42.0,26.0,2.0
2265.0,218963.0,121.51765712,37.43844268,37.63,278.78,899752.494310986,4153103.920225696,0.385,100.96060234468226,1.8,42.0,26.0,2.0
2265.0,218963.16,121.5176564,37.43844276,37.63,280.68,899752.430139304,4153103.926046407,0.392,92.66347243866574,1.8,42.0,26.0,2.0
2265.0,218963.29,121.51765583,37.43844284,37.63,282.23,899752.3792478357,4153103.932505003,0.394,85.52936893221745,1.8,42.0,26.0,2.0
2265.0,218963.46,121.51765507,37.43844296,37.63,284.19,899752.3113214362,4153103.942596891,0.408,76.8685710257731,1.8,42.0,27.0,2.0
2265.0,218963.6,121.51765442,37.43844309,37.64,285.76,899752.2530805281,4153103.954266883,0.435,69.76684454459082,1.8,42.0,27.0,2.0
2265.0,218963.76,121.51765366,37.43844325,37.64,287.5,899752.1849408022,4153103.968800053,0.435,62.52263584652153,1.8,42.0,27.0,2.0
2265.0,218963.88,121.5176531,37.43844338,37.64,288.68,899752.1346680257,4153103.980852776,0.45,57.97778679100797,1.8,42.0,27.0,2.0
2265.0,218964.02,121.51765243,37.43844357,37.65,290.07,899752.0743364338,4153103.999099637,0.452,57.97778679100797,1.8,42.0,27.0,2.0
2265.0,218964.16,121.51765177,37.43844375,37.65,291.29,899752.0149435215,4153104.0162787046,0.455,-44.971608673655936,1.8,42.0,27.0,2.0
2265.0,218964.33,121.51765096,37.43844399,37.66,292.67,899751.9419504055,4153104.03948181,0.454,-56.420011952713935,1.8,42.0,26.0,2.0
2265.0,218964.46,121.5176503,37.43844421,37.66,293.66,899751.8823441691,4153104.0611021575,0.478,-65.24682970582577,1.8,42.0,25.0,2.0
2265.0,218964.62,121.51764952,37.43844448,37.66,294.95,899751.8118471026,4153104.0877638,0.465,-76.8569032256838,1.8,42.0,25.0,2.0
2265.0,218964.76,121.51764885,37.43844473,37.67,295.88,899751.7511955205,4153104.112672583,0.455,-85.9234884028092,1.8,42.0,25.0,2.0
2265.0,218964.93,121.51764804,37.43844505,37.67,296.72,899751.6777757532,4153104.14475825,0.462,-95.26665433086104,1.8,42.0,26.0,2.0
2265.0,218965.08,121.51764733,37.43844534,37.67,297.26,899751.6133694593,4153104.1739382115,0.473,-102.38047151327277,1.8,42.0,25.0,2.0
2265.0,218965.23,121.51764663,37.43844565,37.68,297.55,899751.5497418474,4153104.205381341,0.467,-108.45406153714197,1.8,42.0,26.0,2.0
2265.0,218965.38,121.51764594,37.43844595,37.68,297.63,899751.4870529149,4153104.2357566752,0.477,-113.04931919441968,1.8,42.0,26.0,2.0
2265.0,218965.54,121.5176452,37.43844631,37.68,297.46,899751.4196172578,4153104.2725813035,0.463,-117.63291850582213,1.8,42.0,25.0,2.0
2265.0,218965.68,121.51764456,37.43844661,37.69,297.09,899751.3613550661,4153104.3031692654,0.471,-120.0,1.8,42.0,25.0,2.0
2265.0,218965.84,121.51764382,37.43844695,37.69,296.41,899751.2940260734,4153104.3377732546,0.464,-120.0,1.8,42.0,25.0,2.0
2265.0,218965.99,121.51764314,37.43844725,37.7,295.53,899751.2322224921,4153104.368191116,0.464,-120.0,1.8,42.0,25.0,2.0
2265.0,218966.15,121.51764241,37.43844758,37.7,294.33,899751.1658321769,4153104.40172731,0.461,-119.68880736726487,1.8,42.0,25.0,2.0
2265.0,218966.28,121.51764183,37.43844783,37.7,293.16,899751.1131487298,4153104.427018829,0.451,-117.24144885785068,1.8,42.0,26.0,2.0
2265.0,218966.44,121.51764109,37.43844813,37.7,291.45,899751.0460330654,4153104.457181539,0.441,-112.61375087146693,1.8,42.0,24.0,2.0
2265.0,218966.58,121.51764046,37.43844838,37.71,289.96,899750.9889228796,4153104.48226043,0.44,-109.0148064770358,1.8,42.0,24.0,2.0
2265.0,218966.74,121.51763973,37.43844863,37.71,288.29,899750.9229592206,4153104.506914067,0.436,-109.0148064770358,1.8,42.0,23.0,2.0
2265.0,218966.88,121.51763908,37.43844882,37.71,286.81,899750.8643983325,4153104.525245988,0.421,-90.82896435262553,1.8,42.0,23.0,2.0
2265.0,218967.05,121.51763828,37.43844905,37.71,285.08,899750.7923439039,4153104.5473813065,0.425,-80.80594439106507,1.8,42.0,23.0,2.0
2265.0,218967.19,121.51763763,37.43844923,37.72,283.78,899750.733836346,4153104.5646029087,0.433,-73.40789250760236,1.8,42.0,23.0,2.0
