GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel
2283,553400.21,121.51326115,37.43319007,45.15,18.04,3.5856,8,4.390625,10
2283,553400.31,121.51326171,37.4331912,45.15,18.07,3.4632,8,4.5390625,10
2283,553400.41,121.5132621,37.43319218,45.15,18.03,3.8736,8,4.65625,10
2283,553400.51,121.51326248,37.43319314,45.15,17.88,4.4244,8,4.8984375,10
2283,553400.61,121.51326282,37.43319414,45.15,17.56,4.6764,8,4.9375,10
2283,553400.71,121.51326318,37.43319514,45.15,17.32,4.4172,8,5.0703125,10
2283,553400.81,121.5132636,37.43319627,45.15,17.25,4.3632,8,5.2421875,10
2283,553400.91,121.51326413,37.43319748,45.15,17.28,4.7484,8,5.53125,10
2283,553401.01,121.51326453,37.43319865,45.15,17.1,5.1588,8,5.734375,10
2283,553401.12,121.51326504,37.43319995,45.16,16.96,5.256,8,5.890625,10
2283,553401.21,121.51326544,37.43320107,45.16,16.81,5.3172,8,6.0234375,10
2283,553401.31,121.51326592,37.43320237,45.16,16.69,5.2236,8,6.234375,10
2283,553401.41,121.5132665,37.4332037,45.16,16.73,5.4216,8,6.4609375,10
2283,553401.51,121.51326696,37.43320501,45.17,16.61,5.9436,8,6.609375,10
2283,553401.61,121.51326736,37.43320641,45.17,16.34,6.2172,8,6.8203125,10
2283,553401.71,121.51326787,37.43320785,45.17,16.28,5.9292,8,7.0078125,10
2283,553401.81,121.51326846,37.43320941,45.17,16.35,6.2424,8,7.28125,10
2283,553401.91,121.51326899,37.43321099,45.17,16.25,7.0236,8,7.484375,10
2283,553402.01,121.5132695,37.43321256,45.18,15.92,6.9084,8,7.6171875,10
2283,553402.11,121.51327014,37.43321421,45.18,15.92,6.3432,8,7.8125,10
2283,553402.21,121.51327083,37.43321594,45.18,16.08,6.984,8,8.015625,10
2283,553402.31,121.51327148,37.43321772,45.19,16.04,8.0892,8,8.15625,10
2283,553402.41,121.51327203,37.43321951,45.19,15.67,8.4132,8,8.3984375,10
2283,553402.51,121.51327264,37.43322137,45.19,15.4,7.4268,8,8.5546875,10
2283,553402.61,121.51327338,37.43322326,45.19,15.52,7.0092,8,8.6875,10
2283,553402.71,121.51327413,37.43322528,45.19,15.65,7.596,8,8.8203125,10
2283,553402.81,121.51327481,37.43322724,45.2,15.57,8.5536,8,8.9140625,10
2283,553402.91,121.51327536,37.43322914,45.2,15.3,8.9712,8,9.1015625,10
2283,553403.01,121.51327598,37.43323116,45.2,15.05,8.4636,8,9.1953125,10
2283,553403.11,121.5132767,37.43323327,45.2,15.09,8.0892,8,9.234375,10
2283,553403.21,121.51327741,37.43323536,45.2,15.11,8.388,8,9.234375,10
2283,553403.31,121.51327809,37.43323746,45.21,14.96,8.7876,8,9.296875,10
2283,553403.41,121.5132788,37.43323953,45.21,14.72,9.0288,8,9.296875,10
2283,553403.51,121.51327947,37.43324163,45.21,14.5,8.6832,8,9.234375,10
2283,553403.6,121.51328012,37.43324355,45.21,14.48,8.4816,8,9.296875,10
2283,553403.71,121.51328095,37.43324592,45.22,14.44,8.586,8,9.296875,10
2283,553403.81,121.51328163,37.43324804,45.22,14.4,9.0324,8,9.328125,10
2283,553403.91,121.5132823,37.43325017,45.22,14.37,9.2016,8,9.4296875,10
2283,553404.01,121.51328292,37.43325232,45.22,14.41,8.8524,8,9.328125,10
2283,553404.1,121.51328363,37.43325431,45.22,14.67,8.856,8,9.2578125,10
2283,553404.21,121.51328445,37.43325668,45.23,14.98,8.9172,8,9.1796875,10
2283,553404.31,121.51328514,37.4332588,45.23,15.27,9.1872,8,9.125,10
2283,553404.41,121.51328595,37.43326097,45.23,15.61,9.1044,8,9.125,10
2283,553404.51,121.51328682,37.43326316,45.23,16.01,8.8632,8,9.1015625,10
2283,553404.61,121.51328768,37.43326529,45.23,16.44,8.8272,8,9.0625,10
2283,553404.71,121.51328856,37.4332674,45.23,16.82,8.8704,8,9.0234375,10
2283,553404.81,121.5132894,37.43326948,45.24,17.14,8.7876,8,9.0234375,10
2283,553404.91,121.51329025,37.43327156,45.24,17.47,8.7372,8,9.0078125,10
2283,553405.01,121.51329113,37.43327364,45.24,17.83,8.7336,8,9.0625,10
2283,553405.11,121.51329202,37.43327572,45.24,18.19,8.6472,8,9.0078125,10
2283,553405.21,121.51329292,37.43327775,45.24,18.54,8.568,8,9.0078125,10
2283,553405.31,121.51329387,37.43327976,45.25,18.89,8.7948,8,8.859375,10
2283,553405.41,121.51329481,37.43328179,45.24,19.21,8.694,8,8.8203125,10
2283,553405.51,121.51329579,37.43328388,45.25,19.55,8.4708,8,8.9140625,10
2283,553405.61,121.51329678,37.43328586,45.25,19.89,8.5212,8,8.859375,10
2283,553405.71,121.51329776,37.43328785,45.25,20.16,8.4852,8,8.703125,10
2283,553405.81,121.51329867,37.43328983,45.25,20.33,8.4708,8,8.7421875,10
2283,553405.91,121.5132996,37.43329187,45.25,20.43,8.3268,8,8.78125,10
2283,553406.01,121.5133005,37.43329384,45.26,20.5,8.2692,8,8.609375,10
2283,553406.11,121.5133015,37.43329579,45.26,20.6,8.262,8,8.6875,10
2283,553406.21,121.51330239,37.43329773,45.26,20.58,8.3052,8,8.5859375,10
2283,553406.31,121.51330325,37.43329963,45.26,20.51,8.1072,8,8.5859375,10
2283,553406.4,121.51330406,37.43330134,45.27,20.45,8.0784,8,8.4921875,10
2283,553406.51,121.51330501,37.43330345,45.27,20.35,8.0604,8,8.4921875,10
2283,553406.61,121.51330585,37.43330534,45.27,20.24,7.9308,8,8.453125,10
2283,553406.71,121.51330671,37.43330724,45.27,20.14,7.7652,8,8.453125,10
2283,553406.81,121.51330754,37.4333091,45.28,20.07,7.8408,8,8.3828125,10
2283,553406.91,121.51330839,37.43331102,45.28,20.01,7.956,8,8.2890625,10
2283,553407.01,121.5133092,37.43331289,45.28,19.93,7.9452,8,8.2109375,10
2283,553407.11,121.51331001,37.43331474,45.28,19.87,7.7652,8,8.1875,10
2283,553407.21,121.51331082,37.43331659,45.28,19.85,7.758,8,8.1875,10
